,Name,Reviews,Rating
2431,Flipkart Customer,LovedREAD MORE,4
2432,AITHA BHANU PRASAD,Value for moneyREAD MORE,5
2433,michael  sylvester,Good and excellentREAD MORE,5
2434,Ashesh Kumar,Very bad product. Touch has stopped working within 15 days. No support from Flipkart.READ MORE,
2435,MonArch Kp,Very nice productREAD MORE,5
2436,Flipkart Customer,It's a good productREAD MORE,5
2437,Flipkart Customer,StylishREAD MORE,5
2438,ANMOL Kumar,Just awesome watchREAD MORE,5
2439,Pillala Upender,Ok Not BadREAD MORE,3
2440,Ranu  Sinha,DisasterREAD MORE,3
2441,Shubha Dymakar,Osm oneREAD MORE,5
2442,NAGARAJ GOWD,A waste of moneyREAD MORE,
2443,Flipkart Customer,Nice 👍READ MORE,5
2444,Nandu Hole,Value for Money ❣️ 🔥READ MORE,5
2445,Flipkart Customer,Watch colour awesomeREAD MORE,5
2446,veer singh,This smart watch heart rate sensor not work properlyREAD MORE,3
2447,Flipkart Customer,Good watch easy to useREAD MORE,5
2448,Shafa afreen,"Worst purchase ever 😡, it stopped working the next day 😡READ MORE",
2449,Akshay,"The Brand Service is excellent, they take care of customer in building relationships with customers and not just see customer as one time buyer. Thanks for providing such a great service with great product.READ MORE",5
2450,Siddhartha,"Fantastic value for money smart watch, good for kids in school . No button makes it super easy and effortless to manage and operate.READ MORE",5
2451,Rizwan Sheikh,Battery has not good within one day watch will goin off...READ MORE,3
2452,Flipkart Customer,I don't likeREAD MORE,
2453,Santhu Bhai,Nice one...🔥😘READ MORE,3
2454,Flipkart Customer,"It's is very light and a budget watch, have many features you should buy it i liked the productREAD MORE",5
2455,Flipkart Customer,I brought five watch every watch was dead in a 2monthREAD MORE,
2456,Urmila Nimle,Good DilvareyREAD MORE,5
2457,Flipkart Customer,Really good and I like itREAD MORE,5
2458,Purushottam prakash,Nyc product...... everyone should buyREAD MORE,5
2459,Flipkart Customer,GoodREAD MORE,5
2460,Flipkart Customer,The features available in the watch is basic as I bought it for 1499 the watch is ok for the price otherwise it's a bit hight pricedREAD MORE,5
2461,Jithin  Das ,GoodREAD MORE,5
2462,Khushali Tejawat,It was really nice product. Worth buying.READ MORE,5
2463,basavaraj chandaragi,GoodREAD MORE,5
2464,Sunny Kumar,One of the best smart watch fire bolt ninja Touch is good monitoring is good price also goodI like and I give  5 star...READ MORE,5
2465,Akash Deshmukh,Watch is good considering the budget segment.. you can try it...READ MORE,4
2466,harisha achar,Not switching ON very bad productREAD MORE,
2467,Vamshi Krishna Reddy,Worth for moneyREAD MORE,5
2468,Aman Rana,GoodREAD MORE,5
2469,Flipkart Customer,Good produced and awesome packing love itREAD MORE,5
2470,SULEM PALIWALA .,Really very expensive watch features are also good but dial was small but I am adjust THANK YOU SO MUCH 😊💞🦋READ MORE,4
2471,Ashish  Yadav ,Screen size very small amd alos small lighting screenREAD MORE,3
2472,Sri  Rama Vundavalli ,Very nice productREAD MORE,4
2473,Tej singh Singh,Very poor this wachREAD MORE,
2474,Shweta Rawat05,Nice watch & features also good According to the priceREAD MORE,4
2475,Viraj Desale,Good productREAD MORE,5
2476,Alpesh Daundkar ,Charger issueREAD MORE,
2477,Anubhav  Mishra,This watch design is very good and sensors are all goodREAD MORE,4
2478,Ashok  Samal,Touch display issue not good fire boltt companyREAD MORE,
2479,Prasanta Kumar  Pal ,GoodREAD MORE,4
2480,Lal babu Rajak,Nice oneREAD MORE,5
2481,AThangavelu Avunashi,Nice watch and worth for moneyREAD MORE,4
2482,Bharat Tailor,Delighted with this watch. Very neat and clear screen. Watch is really nice and comfortable to wear.READ MORE,5
2483,Anees Jagirdar,Good watchREAD MORE,5
2484,Yakhub ALI,Bad experience dont buyREAD MORE,
2485,Suwartic Kumar,Lovely styling smartwatch at good price georeous product as described arrived promptly before time wit well packed happy with my purchase you won't find a better watch then  this at this price well made watch you won't be disappointedREAD MORE,5
2486,Ratan  Saha,GoodREAD MORE,5
2487,Pravin Nagle,Dont buy very bad product and bad fire boltt please dont buyREAD MORE,
2488,Mani Kandan,"Good for track, but less future and interface can improviseREAD MORE",4
2489,Ayushi gupta,"Amazing watch, I just loved itREAD MORE",5
2490,Flipkart Customer,"The watch was switched off....And not switch on properly, what will we doREAD MORE",
2491,Mithilesh  Roy,Good AwesomeREAD MORE,5
2492,Pramod ,Its good watchREAD MORE,5
2493,Pritam  Rajak ,GoodREAD MORE,5
2494,Susanta Das,Nice pradak so beautiful ❤️READ MORE,5
2495,Sunil Rana,GoodREAD MORE,5
2496,Flipkart Customer,Very nice product ✌️READ MORE,5
2497,yoga  vignesh,Awesome product for this budget segmentREAD MORE,5
2498,Narayan Das,awsomeREAD MORE,5
2499,Abhi Kashayp,Display is not workingREAD MORE,
2500,Niranjan Bangera,Its not working after two months bad product 😡READ MORE,
2501,Ruchi Agarwal,Very good watchREAD MORE,5
2502,Flipkart Customer,Loved the way it isREAD MORE,5
2503,Vishwajeet Singh,Very good display and batteryHeart rate is accurate but it doesn't have continued heart rate trackingREAD MORE,5
2504,Shrikant ,"Average smart watch charging cable not working only after 10 days of use,READ MORE",3
2505,Vikash,Nice and beautifulREAD MORE,4
2506,Sunil Saran,AwesomeREAD MORE,5
2507,Loveleen Popli,Awesome productREAD MORE,5
2508,Jitendra  Vishwakarma,Awesome watch...READ MORE,5
2509,Mohinur Molla,One words review. NiceREAD MORE,4
2510,Loganathan R,Not charging after 5 months.READ MORE,
2511,Flipkart Customer,Nice oneREAD MORE,3
2512,Kapil,Very good product Amazing qualityREAD MORE,5
2513,pranav  prakhar,"Looks good but price is high , but product is good as a fitness bandREAD MORE",5
2514,farid shaikh,"Nice watch but need a vibrating volume should be increase,READ MORE",5
2515,Flipkart Customer,Good product at ..low price...READ MORE,3
2516,subramanyam D,It is suddenly got shutdown and not waking up. And return policy is already crossed.READ MORE,
2517,Flipkart Customer,Nice productREAD MORE,5
2518,Flipkart Customer,Worst watch don't buy this watch screen broken no repair no replacement they given warranty card that also not valid for broken screen then why they are giving warranty card wasting customer time.worst customer care of fire Bolt.not even connect call.READ MORE,
2519,Flipkart Customer,Nice watch god bettry lifeREAD MORE,5
2520,Bhavin Bhosale,Nice productREAD MORE,5
2521,Flipkart Customer,Good product.READ MORE,5
2522,Mercy Vinoliya,"Superb performance, i loved itREAD MORE",4
2523,Rachit Doshi,Watch is premium looking and value for money product. All the functions are working properly but the only thing is step counter which was not running as per steps it runs more then steps and even in sitting condition step started counting. Rest all is good. Sometimes battery may not work as described.READ MORE,4
2524,Flipkart Customer,Great to use!READ MORE,5
2525,RAO PREM RATAN SINGH,A good product but i faced the charging issue in this model just after using 3/4 months..READ MORE,3
2526,Ramakant richhariya,OsmREAD MORE,5
2527,Swati Hota,Charger is not working. I have contacted many. But no response. Waste of moneyREAD MORE,
2528,Flipkart Customer,Nice watchREAD MORE,3
2529,Flipkart Customer,Nice  productREAD MORE,5
2530,sajjan  kumar,Nice battery backup on full brightness is 9days and lowest brightness it's is 20 days (day+night both) countedREAD MORE,5
2531,Vikas Agarwal,Just like a simple watch not more than.READ MORE,
2532,Flipkart Customer,GoodREAD MORE,3
2533,Ganta Narayana Rao,BadREAD MORE,
2534,Pooja NIRWAN,good qualityREAD MORE,5
2535,Shivam  Singh,Good productREAD MORE,5
2536,Nikhil  Kumar,Very nive productREAD MORE,5
2537,Flipkart Customer,"Poor product having connectivity issues..once it's lost connection,it will not connectREAD MORE",
2538,RDX Satya,GoodREAD MORE,5
2539,fouzan m,Ita very good product It's used easilyREAD MORE,5
2540,Santosh  Verma,Worst product ever i hv usedUnable to charge the watchWorst experienceThere is no any button to on the watchREAD MORE,
2541,Karishma  Gaonkar,Nice watch ...beautifully design💟READ MORE,4
2542,Flipkart Customer,GoodREAD MORE,5
2543,Flipkart Customer,I like soo muchsimply  owsomesuperb qualityREAD MORE,4
2544,Hemant  Kumar,Very nice 👌👌👌👌 watchREAD MORE,5
2545,Gaurav Patel,This watch not goodREAD MORE,5
2546,Ajith Kumar,Value for money with basic features.READ MORE,5
2547,Flipkart Customer,Battery back up poor asper policyDisplay blinging 10 time to one minuteREAD MORE,
2548,Sridevi Raghu,I just loved it but only 8 apps leaving that it is goodREAD MORE,4
2549,Flipkart Customer,This is osm productREAD MORE,5
2550,Flipkart Customer,Good quality product at minimum price.Value for money.READ MORE,5
2551,Flipkart Customer,Charging issue & open problem for lockREAD MORE,
2552,Pearline Ranjana,Excellent. Must buy. Good look. Good qualityREAD MORE,5
2553,Flipkart Customer,AwesomeREAD MORE,4
2554,Antima Singh,Nice products 👌👌👌READ MORE,5
2555,Monu  Bhardwaj ,Good productsREAD MORE,5
2556,Rajesh Gowda D V,All specs are cool. Price is worth liked it.READ MORE,4
2557,9391379424,Nice WorthREAD MORE,5
2558,Shantkumar Bhalke,"Very good product at economically price , happy about its look and functionsREAD MORE",5
2559,chandana T,Good watch in this priceREAD MORE,4
2560,Raushan Kumar,Good FlipkartREAD MORE,5
2561,Bharat ram Jakhar,Good productREAD MORE,5
2562,Harvendra Singh,NiceREAD MORE,5
2563,Manish Kumar,NiceREAD MORE,5
2564,Pankaj Mishra,look not good. looks like kid watch. worst build quality . dont waste money.READ MORE,
2565,Flipkart Customer,OkREAD MORE,3
2566,Poongavanam E,GoodREAD MORE,5
2567,Qasim  Khan,"Worst ever watch I have received, Flipkart kindly return it ... display is getting worst, it's just become white blankREAD MORE",
2568,Manu Saini,Very good product in less moneyREAD MORE,5
2569,Flipkart Customer,The product got dead within a week. It starts blinking minute after minute.READ MORE,
2570,Alex Sahil,Value of money osm product thanks flipkartREAD MORE,5
2571,Naina Gour,GoodREAD MORE,5
2572,MONU Kumar,This product was so badREAD MORE,
2573,SHASHI Goutham,NiceREAD MORE,5
2574,Flipkart Customer,SuperbREAD MORE,4
2575,Meghna  Chakrabarty ,As it is mentioned 1.3 displays actually its not. And we can't receive call or message only can see ...the touch is smooth that's the best thing .READ MORE,3
2576,Flipkart Customer,Product is goodREAD MORE,4
2577,Harshit  Sharma,GoodREAD MORE,5
2578,Flipkart Customer,It's a beautiful watchREAD MORE,3
2579,Flipkart Customer,Worst product don't purchase that watchREAD MORE,
2580,Flipkart Customer,AwesomeREAD MORE,5
2581,Kavya Sri,Value for the money.READ MORE,3
2582,Rajesh Pandey,All goodREAD MORE,5
2583,rohit kumar,Excellent productREAD MORE,5
2584,Sumal Raj,GudREAD MORE,5
2585,Awadhesh  Kumar ,Nice product . Wonderful touch screen.READ MORE,5
2586,Safa  Parkar,Nice product❤READ MORE,4
2587,Flipkart Customer,Best watch in this price. charger should have been betterREAD MORE,4
2588,Pradeep Kumar Yadav,GoodREAD MORE,5
2589,SIDDU HUNASIKATTI,SuperrREAD MORE,3
2590,Sangeet kumar Gautam,Very nice productREAD MORE,5
2591,C.S  Raghav ,Nice and best productREAD MORE,4
2592,Nilanjana Chakraborty,Very nice product... totally worth it 👍READ MORE,5
2593,Flipkart Customer,Vey bad productREAD MORE,
2594,Flipkart Customer,Good battery backupREAD MORE,4
2595,Aditi Dewan,Nice watchREAD MORE,5
2596,Mohit Koli,Awesome watchREAD MORE,5
2597,Flipkart Customer,NycREAD MORE,5
2598,akhilesh mishra,Really dissappointed with this watch. It get disconnected very often. This was my worst experience. Would never buy any product from fire-boltt.READ MORE,
2599,AMAN  BATHLA ,Nice productREAD MORE,5
2600,Anubhav Bhaisare,GoodREAD MORE,5
2601,Khushi Sharma,Very nice 👍READ MORE,5
2602,Khushi  Rai,Amazing ProductREAD MORE,5
2603,Sandhya  Vasava,"It's amazing product......❤️ look classy!!!,nice quality...READ MORE",5
2604,Bhakti  Dhamnaskar,Its my first smart watch I love this product fully stylish With Good  feature its look like awesome Wonderful 🤩❤️❤️🤩Definitely buy this👍READ MORE,4
2605,Sadik raza,Bad productsREAD MORE,
2606,Kumolika  Kumari ,Good productREAD MORE,5
2607,Truptimayee  Das,SuperbREAD MORE,4
2608,Deepthi Nair,Good productREAD MORE,5
2609,Shalini Shakya,Very niceREAD MORE,5
2610,Vipul Gogini,Excellent productREAD MORE,5
2611,Flipkart Customer,"Good quality product & reasonable price, worth for the priceREAD MORE",5
2612,Flipkart Customer,Very nice 😊READ MORE,4
2613,sanathgowda Customer,It superREAD MORE,5
2614,Wasim Akram,Not a bad more betterREAD MORE,3
2615,Flipkart Customer,Good lookingREAD MORE,4
2616,Vani  B.L,"The watch is good and help in tracking BP, pulse, oxygen levels, calories burnt, sleep, steps.READ MORE",4
2617,Karan Wange,Bast smart watch fire boltt ninja😍READ MORE,4
2618,Flipkart Customer,Good productREAD MORE,4
2619,Gurjant Bhangu,GudREAD MORE,3
2620,Flipkart Customer,Wonderful productREAD MORE,5
2621,Flipkart Customer,Just love the productREAD MORE,5
2622,Anna  Khalokar ,We take a watch but not working properly and the other.....READ MORE,
2623,Ishant  nahata,Nice productREAD MORE,5
2624,Dustu,very nice classic styleREAD MORE,5
2625,Md Aatif Arfi,Nice Balck colour is very awesomeREAD MORE,5
2626,Manish Meshram ,Display is very small and battery drains fast. Parameters shown are not that approximate.READ MORE,
2627,REJEEV VISWABHARAN,5 month later not workingREAD MORE,
2628,Flipkart Customer,Best QualityREAD MORE,5
2629,Kushagra Yadav,Watch is nice. My sister is using this product from last 4-5 month.READ MORE,5
2630,Pankaj kumar Jena,SuperREAD MORE,5
2631,Flipkart Customer,GoodREAD MORE,4
2632,ASHISH KUMAR SAHU,AMAZING MUST-BUY PRODUCT.READ MORE,4
2633,Kavitha G Pillai,A good smartwatch But this watch need new updatesREAD MORE,5
2634,Flipkart Customer,This watch is good...but i found some screen touch issue and battery back is not soo good...but over all This product is value for money.READ MORE,3
2635,Rahul Ahuja,Not buy this product only waste of timeREAD MORE,
2636,gaurav Sisodiya,Dear friends don't buy this product because if any problem in watch there is no response from firebolt and flippant team I am unhappy with both teams .. so I suggest you don't buy thisREAD MORE,
2637,Flipkart Customer,Super watch 😍READ MORE,5
2638,Alkesh Naik,This watch is awesome 😍READ MORE,5
2639,Flipkart Customer,Must watchREAD MORE,5
2640,Flipkart Customer,Very good  productREAD MORE,4
2641,Flipkart Customer,"Bought it 8 months before, Not used frequently.Now Battery Issues., Watch wakes up on only in charging time. Otherwise not works.READ MORE",
2642,Surendra  Kumar,Good quality product.READ MORE,5
2643,Flipkart Customer,That's a good productREAD MORE,5
2644,VEDANTI Wasekar,OsmREAD MORE,4
2645,Kailash Siddh,Amazing products 😍READ MORE,5
2646,Arvind Kashyap,good productREAD MORE,4
2647,Flipkart Customer,This divisi West pradakt display not workingREAD MORE,
2648,Sandhya  Tripathi,A best fitness watchREAD MORE,5
2649,Deepak Mandlik,"Nice watch with great design, all applications runs in a good condition. Thank you.READ MORE",5
2650,Krishna Kumar,Its my first smart watch... Andmy experience of 2 weeks is wonderful I loved it alot...a Its superb....alalar Its pink colour is so cute and eye pleasingREAD MORE,5
2651,Aditya  Jha,Very badREAD MORE,
2652,Flipkart Customer,GoodREAD MORE,4
2653,Kishan Kumar,"Product is excellent and value for money, suggested all to buy one firebolt watches for track activities. 👍READ MORE",5
2654,Linto Thankachan,Using it for more than three months. Worth buy.READ MORE,4
2655,Harshal Sonwane,Very goodREAD MORE,5
2656,Shivangi Shrivastava,I really love thisREAD MORE,5
2657,Flipkart Customer,Features are good but the watch is little heavy some problem with thatREAD MORE,4
2658,Ranjit  Rajahans ,NiceREAD MORE,5
2659,Mayank Bhatnagar,I gifted this product to my friend . The  product was soo good 👌READ MORE,5
2660,LAXMI KANT MIRI,Very good and great item battery lasting is wowREAD MORE,5
2661,Flipkart Customer,"First of all the the look is too goodBattery capacity was nice If i charge , i can use it for 3 daysAfter 5 months it dran to 2 days But goodI am a student , it looks so premiumAt this price point it is the best choiceAll the other watches my firends have been using are useless at the same price point.You can buy it with no doubtThe only problem that I faced was the screen size.READ MORE",4
2662,Flipkart Customer,I love it😍😍😍😍😍😘😍😘😍😘😍😘😍😘😍READ MORE,5
2663,Jugal Kalita,Good productREAD MORE,5
2664,Flipkart Customer,Nice product after use watch not working properly display and battery problem faced.READ MORE,3
2665,Manoj Chittawar,Excellent productREAD MORE,5
2666,Aahok kumar  Sahu,Beautiful smartwatchREAD MORE,4
2667,Flipkart Customer,Nice lovely watchREAD MORE,5
2668,Saurabh sharma,After use 1 month product is good in this budget thanks you bolttREAD MORE,5
2669,nkd dahiya,nice watchREAD MORE,5
2670,Keshav Singh,Good productREAD MORE,4
2671,Sanjay Kumar,"Nice design and watch, value for money.READ MORE",5
2672,Sanjay Malik,very goodREAD MORE,5
2673,deepa a,"Fire bolt ninja sw is gud looking. Actually i brought for my husband,he likes the design. Tiz sm has bb and sleep monitoring/heart rate/spo2/MSG and incoming call notificationWe love thiz fire bolt ninja bsw007READ MORE",5
2674,Flipkart Customer,Nice productREAD MORE,5
2675,Vijay Kumar,Really a amazing product .thanks to Flipkart.READ MORE,5
2676,Pooja Gangur,So goodREAD MORE,5
2677,Krishnakapil Sureddi,battery  backup issue plz dont buy this one if its having warrenty also they dont respond to calls and mails alsoREAD MORE,
2678,Flipkart Customer,very nice...aditi from westbengalREAD MORE,5
2679,Gajju Rai,Very good productREAD MORE,5
2680,Flipkart Customer,Great device.READ MORE,3
2681,Rajat Kumar,Nice product 👍READ MORE,4
2682,Alvin Anu,The touch is not working after 1 weekREAD MORE,5
2683,Awadhesh  Singh,This product is a very nice but properly function is a note updateREAD MORE,4
2684,Flipkart Customer,Not workingREAD MORE,
2685,Sanjay Singh,Good productREAD MORE,5
2686,Hivraj  Khobragade ,Nice product 👌READ MORE,5
2687,DEVENDER SINGH,Not good  product  charger problam and my smart watch  to off and not replacementREAD MORE,
2688,Jasmine Jasmine,Good productREAD MORE,5
2689,Flipkart Customer,Nice product ✌️✌️✌️🤘READ MORE,4
2690,Kathiresan Kathir,Very niceREAD MORE,4
2691,Lalit Negi,Awesome ✌READ MORE,5
2692,Flipkart Customer,GoodddREAD MORE,4
2693,Flipkart Customer,Its a good productREAD MORE,
2694,Flipkart Customer,Nice product but battery charging time is high and once full charged it comes for 2 or 3daysREAD MORE,4
2695,Blogging lovers BøY,Very 👌READ MORE,5
2696,Flipkart Customer,It's a good product worthREAD MORE,5
2697,Ebin  Eby,such good product must try❤️READ MORE,5
2698,Flipkart Customer,This watch is water proof gi fo it.......READ MORE,5
2699,Raj Kumar,Super productREAD MORE,5
2700,Kuldeep Singh,After 1 month watch is not connecting with phoneREAD MORE,
2701,Rajashekhar Madalli,GoodREAD MORE,4
2702,Amit  Srivastava,OkREAD MORE,3
2703,Tushar Pal,Good ProductREAD MORE,5
2704,Flipkart Customer,Best watch and affordable price superb battery lifeREAD MORE,5
2705,Abhijit  Biswas ,Good productREAD MORE,5
2706,Geeta Basavaraj,Very nice👏👏READ MORE,5
2707,Raghav Dua,Nice and comy watch. Best in price segment and i like the dark black theme.READ MORE,4
2708,Flipkart Customer,Good oneREAD MORE,5
2709,Flipkart Customer,"This watch is not able to track my exercise activity even sleep as well The display touch work slowlyI have already returned it once But now it showing that you cannot return it Plz don't buy fire boltt spO2 , it's not a good investmentREAD MORE",
2710,Neelu  P..,Nice watchREAD MORE,4
2711,Dileep,Nice product in best priceREAD MORE,5
2712,Arnav Saxena,Bad performance this watch not openREAD MORE,
2713,Flipkart Customer,GoodREAD MORE,5
2714,Dipika Bagchi,I ❤️ Flipkart ♥️♥️♥️ love you Flipkart 😘😘😘😘READ MORE,5
2715,Flipkart Customer,This is my first smart watch very nice🥰READ MORE,5
2716,Pawan Meena,Very nice productREAD MORE,5
2717,Flipkart Customer,GoodREAD MORE,5
2718,Manoj S,Worthy product 👍READ MORE,4
2719,Vamsi  Rathnam ,Value for money. Good productREAD MORE,5
2720,Flipkart Customer,Nice watch 👍READ MORE,5
2721,Roshan Raj,Very much poorREAD MORE,
2722,MANOJ TIWARI,AwesomeREAD MORE,5
2723,Balireddy  Annapareddy,GoodREAD MORE,5
2724,Sunil Shah,ExcellentREAD MORE,5
2725,Flipkart Customer,NiceREAD MORE,4
2726,Shrikant  Wankhede,OkREAD MORE,4
2727,Ravinder Pidugu,Watch not on in displeyREAD MORE,
2728,Flipkart Customer,Very good product in this price range 👌READ MORE,4
2729,Suryajith Sr,Worth productREAD MORE,5
2730,NAVEEN KUMAR NARALA,Battery discharge fast. Not even charging.It is not we expect.It is a waste of money.READ MORE,
2731,Bharath Kumar Gannoju,GoodREAD MORE,5
2732,Flipkart Customer,Nice watch in this rangeREAD MORE,4
2733,Bhabani Shankar  Sahu ,Quality is good and long lasting.i will use it since 6 montsREAD MORE,5
2734,Flipkart Customer,Nice watch very useful and good FeaturesREAD MORE,5
2735,Flipkart Customer,Not good ....READ MORE,
2736,Olivia Dias,It's working fine. Touch to wake feature is special. Easy to operate. Satisfied with the performance so far. I would recommend it for those who are looking for a good smartwatch.READ MORE,5
2737,Monimoy Basu,Satisfied with product ❤️READ MORE,5
2738,Akshat  Yadav,Value for moneyREAD MORE,5
2739,Dipjyoti Rakshit,"I have used it last four months, after one month I faced charging issues and after three month some black lines have created in the bottom portion of the display.... don't know how much time I can use this watch...READ MORE",
2740,Flipkart Customer,ExcellentREAD MORE,5
2741,Flipkart Customer,Good watch manages many tasks but touch sometimes stops working and if by mistake it is switched off then you have to put that on charger to restart it.READ MORE,4
2742,Gangadhar Pasupuleti,GoodREAD MORE,5
2743,Rahul Singh,Backup not goodREAD MORE,
2744,sudheer kumar,WasteREAD MORE,
2745,Rajan Yadav,NiceREAD MORE,3
2746,Flipkart Customer,Like itREAD MORE,3
2747,Ashwani  Mishra ,Nice 👍READ MORE,5
2748,Priyanka B,"It's a nyc product, satisfied with the prize alsoREAD MORE",4
2749,Pankaj Tiwari,Awesome Product. Bought it for my daughter. Working more than expected. Thnx Flipkart for the product as such a good priceREAD MORE,5
2750,Flipkart Customer,Good productREAD MORE,4
2751,Belghaiya Kishor,NiceREAD MORE,5
2752,Ajay kumar Das,Guys Don't buy any fire- boltt products it's very bad qualityREAD MORE,
2753,Chandraveer Rana,Just averageREAD MORE,
2754,Rudrasing Rabha,NiceREAD MORE,4
2755,AVINASH VERMA,GoodREAD MORE,3
2756,Santu  De,Nice productREAD MORE,5
2757,Flipkart Customer,Good productREAD MORE,5
2758,Sangeeta Sirvi,Best product .Good value in this priceREAD MORE,5
2759,srinath ankalapu,SuperREAD MORE,5
2760,Manan Agrawal ,It is a good product this is worth itREAD MORE,5
2761,Sukhendu Patra,Loved the product but missing 2 important features i.e music control & call controlREAD MORE,4
2762,Dheeraj  Tyagi ,Excellent productREAD MORE,5
2763,Flipkart Customer,AmazingREAD MORE,5
2764,Shiksha Nathani,Value for moneyREAD MORE,5
2765,Onkar Singh,Good quality good productREAD MORE,5
2766,Flipkart Customer,It's AwesomeREAD MORE,3
2767,Arun Sharma,This is very awesome product. Best in his category of price. I am using it it is really fine. You need not to think again to buy this.READ MORE,5
2768,Mithinga Narzary,Awesome. . Watch. . . Best for Average budget . . Really worth for this price.READ MORE,5
2769,Sagar  Ahire,Very nice i like itREAD MORE,5
2770,Shaik Kareem,GoodREAD MORE,5
2771,Saurav Bhattacharyya,goodREAD MORE,5
2772,Sudha Ajinkyaraj  Bhumare,Such a nice product.. its really very nice and usefull gazzet that I have used everREAD MORE,5
2773,GOPI C,Quality of war can be improvedMetal frame is goodREAD MORE,4
2774,Flipkart Customer,NiceREAD MORE,3
2775,Piyus Roy,AvarageREAD MORE,3
2776,sairam MURARI,Excellent product in this price range.. Works perfect and nice lookREAD MORE,4
2777,Flipkart Customer,The product was awesome and easy to use i really like it 🥰🥰💕READ MORE,5
2778,aniket shelar,GreatREAD MORE,4
2779,Sarita Bhavsar,The product is amazing. Good functionalities provided.READ MORE,5
2780,Flipkart Customer,Very nice productREAD MORE,5
2781,shahed khan Pathan,nice product.value for moneyREAD MORE,5
2782,Flipkart Customer,Power  off not start for watchREAD MORE,5
2783,yalamati b b v v prasada rao,"battery drains fast, it is not even working for a half-dayREAD MORE",
2784,Manoj  Patel,HopREAD MORE,5
2785,KOTLA GOVARDHAN REDDY,Excellent watch for Middle class who not to able to Effort Apple watchREAD MORE,5
2786,Flipkart Customer,Very good productIam satisfied with itREAD MORE,4
2787,Yo yo Sanatan,So nice productREAD MORE,5
2788,Flipkart Customer,Love this watch awesome product value for money 🥰🥰🥰READ MORE,5
2789,Flipkart Customer,Nice oneREAD MORE,5
2790,Flipkart Customer,Activitiy tracking not so good but a vey nice productREAD MORE,5
2791,komal kerwal,Good productREAD MORE,5
2792,Saurabh Gangwar,Not worth of money due to the features and qualityREAD MORE,
2793,Aakash Singh,Good oneREAD MORE,5
2794,Perugu Srinivas  Reddy,Poor in charge connection Every day to chargeREAD MORE,
2795,Sudhir Parab,Very good productREAD MORE,5
2796,Saurabh  Pandey,Very badREAD MORE,
2797,Sunny Raja,Good in budgetREAD MORE,5
2798,Flipkart Customer,Awesome watchREAD MORE,5
2799,Avishak Biswas,Good at the price rangeREAD MORE,5
2800,Ranjeet  Meghwal ,Very nyc productREAD MORE,5
2801,Flipkart Customer,"It's very Nice Activity, Nice Look, Nice Tracking BP, O2 level ets.READ MORE",5
2802,Joby A G,GoodREAD MORE,5
2803,Sai Chaitanya,Value for moneyREAD MORE,4
2804,ebu john,Excellent productREAD MORE,5
2805,Harasmita  Debata,Best product in market in the above price..really nice..battery backup is too good..I love this product! Thank you fireboltt!READ MORE,5
2806,Flipkart Customer,Nice product for this price rangeREAD MORE,4
2807,RISHI  Kumar,I loved it this productREAD MORE,5
2808,Manoj Sharma,Bad productREAD MORE,
2809,Chinna Chinna,Very worst👎👎👎READ MORE,
2810,Flipkart Customer,Very nice productREAD MORE,5
2811,Rupesh Kumar,Nice productREAD MORE,5
2812,Flipkart Customer,Never buy this product it is not wellREAD MORE,
2813,Krishna Jaiswal ,Product quality is good but screen is not full.READ MORE,4
2814,Flipkart Customer,It's amazingREAD MORE,5
2815,Lohith  A M,Ok okeyREAD MORE,4
2816,Arvind kaushal,So beautiful things i  wear do i am looking smartREAD MORE,5
2817,Sanjay Pusti,Nice productREAD MORE,5
2818,Arvind  Vyas,Good productREAD MORE,4
2819,chethan  jogi,Fature  of notifications has to improve entire  massages will  display  instead  of pop ping And missed call  notifications not available only calling  notify availableREAD MORE,
2820,Love  Ahirwar,Very good choice for smart watch in this price and any one aford this Thank youREAD MORE,5
2821,prity saha,Go for it. Great product.works really good. I just love the product. Good for daily use. Go for it.READ MORE,5
2822,Flipkart Customer,Value for money....READ MORE,5
2823,Flipkart Customer,It's osm productI am so happy 😊😊Thnx u FlipkartREAD MORE,5
2824,Ganesh Mali,After 15 days climate temperature not shown ...walking wrong foot count shown.battery is also worstREAD MORE,
2825,Tarun Sardana,I. Just loved it 😻READ MORE,4
2826,Sameer  Shaikh,NycREAD MORE,5
2827,Sarwan  Kumar,Good productREAD MORE,5
2828,Vinit  VISHWA,It's wonderful watch I gifted this watch to my girlfriend on hin his bday and she is very happy...READ MORE,5
2829,Maddela Bablu,GoodREAD MORE,5
2830,Ashwik  Kumar Neelam,It is just bestREAD MORE,5
2831,Irfan Ansari,Nice ProductREAD MORE,3
2832,AJIT KUMAR,Very nice product. It's amazing.READ MORE,4
2833,Dipakkumar lad,Nice watchREAD MORE,4
2834,Arshad Karim,Nice 👍☺️ Watch Nice Look ☺️☺️READ MORE,5
2835,Chella,GoodREAD MORE,5
2836,Flipkart Customer,This product is awesome 😎👍READ MORE,5
2837,SHRADDHA YERAM,Worst product don't buyREAD MORE,
2838,Abhijëët S. Tambade,"1. Perfectly fits2. Less features for this price as compared to other brands like noise and boat.3. Sometimes taking values of heart rate of non living things how it's possible. 4. Claiming battery backup of 7 days, but real backup 3-4 days with medium brightness and medium use. 5. Like the function no switch on side for on/off.READ MORE",
2839,Flipkart Customer,A good oneREAD MORE,4
